n	individuo	poblacion	sitio	lon	lat	codigo	Temp_med_anual	Precip_anual	Intervalo_medio_diurno	Isotermalidad	Rango_anual_temp
1	SAM1    	pop1   	San José de la esquina	-61.711733	-33.13565	Sje	16.7666664123535	948	13.1000003814697	48.6988868713379	26.8999996185303
2	SAM10 	pop3	Argentina	-62.26205	-29.538683	Arg	19.5125007629395	895	13.5083322525024	50.0308647155762	27
3	SAM100  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
4	SAM101  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
5	SAM102  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
6	SAM103  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
7	SAM104 	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
8	SAM105  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
9	SAM106  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
10	SAM107  	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
11	SAM108 	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
12	SAM109 	pop17	Cruz del eje	-64.800167	-30.700084	C	18.0083332061768	548	13.1333332061768	49.7474746704102	26.3999996185303
13	SAM11	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	13.4499998092651	50.3745307922363	26.6999988555908
14	SAM12 	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	13.4499998092651	50.3745307922363	26.6999988555908
15	SAM13	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	13.4499998092651	50.3745307922363	26.6999988555908
16	SAM14 	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	13.4499998092651	50.3745307922363	26.6999988555908
17	SAM15	pop4	3 esquinas	-65.155267	-31.20305	Sc	16.591667175293	626	13.4499998092651	50.3745307922363	26.6999988555908
18	SAM16 	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	14	52.2388038635254	26.7999992370605
19	SAM166  	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	11.5	46.5587043762207	24.7000007629395
20	SAM167  	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	11.5	46.5587043762207	24.7000007629395
21	SAM168  	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	11.5	46.5587043762207	24.7000007629395
22	SAM169 	pop18	Ayui	-58.033555	-31.183535	Ayui	18.9500007629395	1339	11.5	46.5587043762207	24.7000007629395
23	SAM17	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	14	52.2388038635254	26.7999992370605
24	SAM170  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
25	SAM171  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
26	SAM172  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
27	SAM173 	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
28	SAM174  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
29	SAM175  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
30	SAM176  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
31	SAM177  	pop19	El Carmen	-65.233608	-24.316879	elc	17.8083343505859	798	12.966667175293	51.8666648864746	25
32	SAM178  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
33	SAM179  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
34	SAM18 	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	14	52.2388038635254	26.7999992370605
35	SAM180  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
36	SAM181 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
37	SAM182  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
38	SAM183 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
39	SAM184 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
40	SAM185 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
41	SAM186  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
42	SAM187  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
43	SAM188 	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
44	SAM189  	pop20	El Talar	-65.300165	-28.083341	tal	19.8583335876465	711	13.9833335876465	47.7246856689453	29.3000011444092
45	SAM19	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	14	52.2388038635254	26.7999992370605
